top - 01:27:59 up  1:54,  4 users,  load average: 3.63, 1.55, 0.99
Tasks: 217 total,   2 running, 207 sleeping,   8 stopped,   0 zombie
%Cpu(s):  6.5 us, 38.7 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi, 54.8 si,  0.0 st 
MiB Mem :   3403.7 total,    125.1 free,   2344.7 used,    793.3 buff/cache     
MiB Swap:   3915.0 total,   3579.2 free,    335.8 used.   1059.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  10473 anass     20   0 3606872   1.0g  97784 R  14.1  31.1   4:07.94 Isolate+
     47 root      20   0       0      0      0 S   4.7   0.0   0:09.95 kswapd0
   2789 anass     20   0 3548044 239388  70952 S   4.7   6.9   4:56.33 gnome-s+
    246 root      19  -1   67964  18984  17832 S   1.6   0.5   0:01.72 systemd+
   9094 root      20   0       0      0      0 I   1.6   0.0   0:10.73 kworker+
  13148 sysadmin  20   0   13424   5532   3484 R   1.6   0.2   0:00.25 top
      1 root      20   0   25520  15144  10920 S   0.0   0.4   0:04.49 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:06.79 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:02.22 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.07 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kdevtmp+
     25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.04 khungta+
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     31 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     32 root      20   0       0      0      0 S   0.0   0.0   0:03.65 kcompac+
     33 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     34 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     38 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     40 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.03 scsi_eh+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
     54 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     58 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     67 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     82 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    142 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    188 root      20   0       0      0      0 S   0.0   0.0   0:04.22 jbd2/sd+
    189 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    256 systemd+  20   0   18308   7120   6864 S   0.0   0.2   0:01.63 systemd+
    313 systemd+  20   0   23576  11636  10612 S   0.0   0.3   0:02.28 systemd+
    314 systemd+  20   0   91628   7344   7216 S   0.0   0.2   0:00.10 systemd+
    322 root      20   0   38608  11460   8004 S   0.0   0.3   0:00.77 systemd+
    325 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    514 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/18-+
    517 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    681 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1091 avahi     20   0    6796   4276   4020 S   0.0   0.1   0:00.26 avahi-d+
